,ID,Reference,SearchKeyword,PageTitle
12,14,"災害の際に被災地・被災民へ送られる義捐金・義援金（ぎえんきん）も寄付の一つである。経済において、寄付は福祉に係る費用の一部を担う重要な経済活動でもある。
寄付は、寄付者が自らの意思に基づき金銭・財産を対象機関・施設へ無償で供与することで行われる。寄付の多くは、公共事業や公益機関、福祉機関、医療機関、教育機関、宗教施設などに対して行われている。
これらの事業・機関・施設は、公共的・公益的な社会役割を担っているが、安定した収入源を持たず、そのため、寄付を主要な収入源の一つとしていることが多い。",義援金,寄付
13,21,清涼飲料水（せいりょういんりょうすい）は、乳酸菌飲料、乳及び乳製品を除いたアルコール分を含まない（アルコール分1%未満）飲用の液体物のことである。,清涼飲料水,清涼飲料水
14,21,"「食品衛生法質疑応答ハンドブック」（第一法規）[1]では、「トマトジュース、濃縮ジュース、凍結ジュース、ソーダ水、タンサン水、コーラ類、ジンジャエール、ミネラルウォーター、豆乳、ガラナ飲料等々およそ飲料はすべて清涼飲料水に該当する」と例示される。
",清涼飲料水,清涼飲料水
15,22,認知症（にんちしょう、英: Dementia、独: Demenz）は認知障害の一種であり、ヒトの脳の後天的な器質的障害により、いったん正常に発達した知能・知性が不可逆的に低下する状態である。,認知症,認知症
16,22,老化に伴う脳の器質的障害とともに、身体のいずれかが機能不全を起こすことが多かったため社会問題化することはなかった。,認知症,認知症
17,22,近年では身体の老化による障害は投薬などにより機能をある程度維持することが可能になったが、脳の機能は投薬などでは劣化を防ぐことができなかったために顕在化した。,認知症,認知症
18,22,予防も、知的活動や他人とのコミュニケーション、身体運動などにより試みられており、日本では日本認知症予防学会が組織され、アルツハイマー症に名を残すドイツの医学者アロイス・アルツハイマーの誕生日である6月14日を「認知症予防の日」と定めている[13]。,認知症,認知症
19,23,ドラえもんは、藤子・F・不二雄[注 1]（藤本弘）の漫画作品『ドラえもん』に登場する架空のネコ型ロボット[注 2]で、同作品の主人公。,,ドラえもん (キャラクター)
20,23,球状の頭部と胴体、短い手足をもっている。実物のネコの体毛によくあるように、体と顔面・腹部でツートンに色分けされていて、体は青色で顔面と腹部は白色になっている。鼻としっぽの先は赤色である。,,ドラえもん (キャラクター)
21,23,ドラやきが大好物。そのこだわりはとても強く、甘すぎるドラやきは邪道という持論を持つ。,,ドラえもん (キャラクター)
22,24,2022年にはNTTコミュニケーションズを傘下に収めた関係で、NTTコムが提供する格安スマホ「OCNモバイルONE[58]」をNTTドコモショップで販売している。,NTTドコモ,NTTドコモ
23,24,NTTグループにおいては、すでにNTTドコモにおいて移動体通信事業のサービスを提供してきたが、これとは別で、NTTコミュニケーションズ(以下、NTTコムと表記)も2013年8月に通信容量や速度を、利用者の生活スタイルに合わせて5つのコースからなる「OCNモバイルONE」の提供をMVNOとして開始[1]した。,,OCNモバイルONE
24,24,2023年6月20日、NTTドコモは同年7月にNTTレゾナントを吸収合併するのに先立ち、本ブランドの後継となる新料金プランとして、「irumo（イルモ）」を同月1日から提供開始することを発表した。それに伴い、本ブランドの新規受付を同年6月26日に終了することも併せて発表した[5]。,,OCNモバイルONE
25,25,炎上（えんじょう）とは、インターネット上のコメント欄などにおいて、稚拙な批判や誹謗中傷などを含む投稿が集中することをいう[1][2]。,,炎上 (ネット用語)
26,25,北田暁大は、日本のインターネット上のコミュニティではしばしば、内容そのものよりも形式的な作法や感情の盛り上がりに従ってコミュニケーションを連鎖させていくこと自体を重視する「つながりの社会性」という現象がみられると論じている。炎上についても、当初は内容面だった対立が次第に語り口などの形式面への批判へスライドしていくという傾向が見られ、この枠組みでとらえることができるといえると論する[71]。,,炎上 (ネット用語)
27,25,炎上につながるような無礼・不謹慎な発言、犯罪行為の告白、尊大な言動、価値観の押しつけや否定、意見が対立しやすいトピックへの言及などの発言をしないように注意することで、ある程度は炎上を予防することができる[43][44]。,,炎上 (ネット用語)
28,26,声優になることを目指すには、声優の養成所や専門学校に通うのがもっとも一般的である。,声優,声優
29,26,養成期間はおおむね1年から3年で、養成期間修了後に行われる所属オーディションに合格するとプロダクション所属となる。,声優,声優
30,26,この時点では「新人」「ジュニア」「仮所属」などと称される見習い期間となる。見習い期間が終了し、内部審査を経て、認められた者だけが正所属（正規に所属する）となる。,声優,声優
31,26,日本大学芸術学部[182]、桐朋学園芸術短期大学[183]、玉川大学[184]、大阪芸術大学[185]などの大学教育機関の出身者。,声優,声優
32,26,舞台演劇やミュージカルで活動する舞台役者が、その後声優として長く活動するようになる例は、声優という職業が成立する時期から多く存在しており、大塚明夫[注 22]、納谷悟朗など#舞台劇で紹介されたような面々らがこれに該当する。,声優,声優
33,27,陸上では、温度計、湿度計、風向風速計、気圧計、雨量計、積雪計、蒸発計、日射計、日照計などをセット（効率を考え、温度計や雨量計など重要性の高い測器が高密度で設置されることが多い）で自動気象観測所（AWS）として設置することが多い。,天気予報,天気予報
34,27,海上では、気温や気圧等に加えて海水温や流速等を観測する海洋気象ブイの設置が進んでいる。気象観測船による観測も各国が行っている。,天気予報,天気予報
35,27,天気予報を行う上では地上〜対流圏上部付近までの上空の気温、気圧、湿度、風を知ることが非常に重要であり、これは衛星観測でもできないことから、無人化の流れの中でも人手と観測網は維持されている。航空機による観測も行われており、旅客機に搭載された機器も重要な情報源である[6],天気予報,天気予報
36,27,気象庁では、COSMETSで情報の統合整理を行っている。,天気予報,天気予報
37,28,日本国憲法において衆議院の解散は、内閣の助言と承認により、天皇が行う国事行為の一つと定められている（日本国憲法第7条3号）[注 1]。,衆議院,衆議院解散
38,28,解散によりすべての衆議院議員は、任期満了前に議員としての地位を失う。解散に伴う衆議院議員総選挙を総称して解散総選挙と呼ぶ。,衆議院,衆議院解散
39,28,衆議院が解散されたときは、解散の日から40日以内に衆議院議員総選挙を行い、その選挙の日から30日以内に国会（特別国会）を召集しなければならない（同第54条第1項、公職選挙法第31条3項）。そして、日本国憲法は衆議院議員総選挙後に初めて国会の召集があったときには当然に内閣は総辞職するものとしている（日本国憲法第70条）。,衆議院,衆議院解散
40,28,なお、憲法解釈上は解散権はあくまでも内閣に存するが、事実上、内閣総理大臣の専権事項となる（後述の「解散権の行使」を参照）。そのため、「首相の大権」或いは「伝家の宝刀」とも呼ばれる[3]。,衆議院,衆議院解散
41,29,クリスマスツリーの用材には、常緑の針葉樹のおもに幼木が用いられる。,クリスマスツリー,クリスマスツリー
42,29,クリスマス・キャロルの『もみの木』からもうかがわれるとおり、ヨーロッパでは、伝統的にヨーロッパモミが使われてきた。現代では、入手が容易であることから広く使われるようになったドイツトウヒや、コーカサスモミ（英語版）、ノーブルモミ（英語版）なども用いられる。,クリスマスツリー,クリスマスツリー
43,29,"ツリートップ（星、天使）
ツリーの先端には、キリストの降誕を知らせたベツレヘムの星にちなみ、多くは星が飾られるが、イギリスなどではクリスマス・エンジェルという天使が飾られる。",クリスマスツリー,クリスマスツリー
44,29,"リンゴ
アダムとイヴが食べた知恵の樹の実を象徴したもの。現代ではオーナメントボールと呼ばれる飾り（金属光沢のあるメッキボールやガラス製のグラスボールやミラーボール）になっていることが多い。",クリスマスツリー,クリスマスツリー
45,30,そこで、ガラスが容易に割れないようにするために、表面を圧縮して破壊に対する抵抗性を高める方法が考案された。,強化ガラス,強化ガラス
46,30,ここで、KイオンはNaイオンよりも大きい。そのため、狭い隙間につっかえ棒を押し込んだような状態になり、ガラスの表面には圧縮応力の層が生じる。するとガラスを破壊するためには、分子間の結合を破壊する力だけでなく、表面の圧縮応力を取り除く力も必要となる。このため、このガラスを破壊するには通常のガラスよりも大きな力が必要となり、このガラスは強化されたと言える。,強化ガラス,強化ガラス
47,31,"雲（くも）は、大気中にかたまって浮かぶ水滴または氷の粒（氷晶）のことをいう。雨や雪などの降水は雲の中で成長して地表へ落下する[1][2]。
地球上のほとんどの雲は対流圏内で発生する。雲はその形や性質から十種雲形や種・変種などに分類される[1][3]。なお、雲が地表に接しているものは霧という[2]。
雲の粒子（雲粒）は大気中に浮かんで存在し、可視光線により人間の目に見えている[1][4][5]。同様に、大気をもつ惑星表面において気体成分と液体・固体粒子が浮かぶものを雲と呼ぶ[2]。",雲,雲
48,32,摩擦とは、互いに接する二つの物体が接触面に沿って相対的な運動を行うことを妨げる力である。,摩擦,摩擦
49,32,油は分子量が大きく、液体としては水などに比べ粘性が高く皮膜が丈夫で、物体間の摩擦を軽減させる。,潤滑油,潤滑油
50,33,ドラゴンフルーツ（dragon fruit）、別名ピタヤ[1]（英語: pitaya）は、サボテン科ヒモサボテン属のサンカクサボテン等の果実を指す。,ドラゴンフルーツ,ドラゴンフルーツ
51,33,中国語名は「火竜果」（繁体字: 火龍果、簡体字: 火龙果、拼音: huǒlóngguǒ）。,ドラゴンフルーツ,ドラゴンフルーツ
52,33,日本では果皮が黄色いものを区別してピタヤ（イエローピタヤ）と呼んでいる場合もあるが、ピタヤは本来サンカクサボテン類の果実の総称であり、ベトナムから日本へ入り始めたころは赤いものもピタヤと呼んでいた。,ドラゴンフルーツ,ドラゴンフルーツ
53,33,ドラゴンフルーツという呼び方は、ベトナムから輸出する際に中国語から直訳的に英語にした販売用の商品名であったが、現在は果実・果樹としてもこちらの商品名の方が一般的に広まっている。,ドラゴンフルーツ,ドラゴンフルーツ
54,34,避雷針は棒状の導体であり、保護対象とする建築物などの先端部分に設置される。,避雷針,避雷針
55,34,落雷時にはこの部分に稲妻を呼び込み、接地に導くことによって、当該建築物などの被害を防ぐ。,避雷針,避雷針
56,34,避雷針には落雷時、雷の大電流が到達する。このためそれに耐えうる接地線を避雷針本体から地面まで引き下げ、地中に埋設した銅板などに接続しなければならない。,避雷針,避雷針
57,35,噴火（ふんか、英: eruption）とは、火山からマグマや火山灰などが比較的急速[1]に地表や水中に噴き出すことである。,噴火,噴火
58,35,危険が及ぶ前にそれを避けて別の場所へ移っておく事前避難と、既に身近に危険が及んでいるときにとっさの回避行動として別の場所へ移る緊急避難である[6]。,避難,避難
59,35,指定緊急避難場所（避難場所） - 災害の危険から逃れるため、緊急的に身の安全を確保するための場所。,避難,避難
60,35,災害の種類（洪水、崖崩れ・土石流・地滑り、高潮、地震、津波、大規模火災、内水氾濫、噴火）ごとに可・不可があり、例えば地震や火災では避難できるが浸水の恐れがあるため洪水の場合は避難してはいけないような場所もある。,避難,避難
61,36,蒸し茶碗に椎茸、ギンナン、ユリ根、蒲鉾（主に板蒲鉾）、鶏肉、小海老、焼きアナゴ、帆立などの具材と、溶き卵に薄味の出し汁を合わせたものを入れ、吸口にミツバや柚子の皮などを乗せて蒸し器で蒸す,茶碗蒸し,茶碗蒸し
62,36,加熱温度が高すぎると鬆（す）立ちを起こし、舌触りが悪く、硬くなる[1]。,茶碗蒸し,茶碗蒸し
63,36,これは、60度程で固まりはじめる卵のたんぱく質と100度で沸騰する水に温度差があることで生じる[3]。,茶碗蒸し,茶碗蒸し
64,36,鬆（す）が入るのを防ぐため、卵液の調製後に一定時間置いたり、温度上昇の速度を緩やかにする[1]。,茶碗蒸し,茶碗蒸し
65,36,具体的には蒸し器の蓋はずらして乾いた布巾を挟んでおく方法などがとられる。,茶碗蒸し,茶碗蒸し
66,37,哺乳類の角の役割は、まず武器であると考えられる。,角,角
67,37,頭部にあって上や前を向く角は、やや頭を下げたときに、視界方向に突き出す形をとるが、これもそのような用途に適する。,角,角
68,37,天敵に対する武器として使われるとも考えられるほか、同種内で、集団での地位の確認や、メスや餌場の取り合いなどの場合に、雄同士の威嚇やけんかの武器として使われる。,角,角
69,38,乾燥とは、この水蒸気の平衡状態を物体側から周囲の媒質側（一般には空気）に偏らせることといえる。,乾燥,乾燥
70,38,前者は気温が高いほど早く進行し、後者は送風すると早く進行することに相当する。,乾燥,乾燥
71,38,衣類乾燥機（いるいかんそうき）は、洗濯を終えたあとの水分を含んだ状態の衣類を乾かす乾燥機。,,衣類乾燥機
72,38,排気経路上にはフィルター（エアフィルタ）が付いており、これに糸くずが詰まると乾燥効率が悪化することから、こまめなフィルター清掃が必要である。このほか、洗濯物はよく脱水しておき、詰め過ぎず、少な過ぎず、適量を乾燥機にかけることも省エネルギーの観点から大切である[2]。,,衣類乾燥機
73,39,皮革の英語であるleatherのカタカナ転写の一つ,レザー,レザー
74,39,皮革（ひかく）は、動物の皮膚を剥いだ「皮（英語版）」と、皮から毛を除いて鞣して（英語版）得られる「革」の総称である[1][2][3]。,,皮革
75,39,動物の皮膚をそのまま剥ぎ、製品として使用したものを皮という。皮は乾燥させると硬くなるが、乾燥中に繰り返し揉んだりほぐしたりして加工すると柔らかさを保つ性質がある[4]。,,皮革
76,39,しかし、皮には高温多湿の環境では腐るという大きな欠点があるため、これを腐らないよう鞣して（なめして）加工したものが革である[4]。,,皮革
77,39,皮革は硬質の樹脂であるプラスチックが発明されるまで人類が入手できる最も強靭な素材だった[4]。,,皮革
78,40,抵抗体では電極の電位差に応じた電荷の移動が起きているため、仕事をする。通常の抵抗体であれば、この仕事の殆ど全てが熱エネルギーに変換される。,抵抗,抵抗器
79,40,損失、すなわち電力を消費する作用は抵抗器の最も基礎的な作用であり、抵抗器の用途として非常に重要である。,抵抗,抵抗器
80,41,叉焼の煮汁やタレで煮れば煮卵となる。冷たい煮汁にゆで卵を入れて沸騰させ、短時間煮た後、汁ごと長時間かけて冷やすなどにより味を染み込ませて作る。ラーメンのトッピングとしてゆで卵の代わりに煮卵がメニューに加えられている店もある。ゆで卵を半熟に仕上げ、冷たい汁の中に入れて以降は加熱せずに味付けする「半熟煮卵」（厳密には「煮卵」ではないが）が出されることもある。また、醤蛋（ジャンタン）とも呼ばれる。,煮卵,ゆで卵
81,44,一般的には毒キノコとして扱われる。主要毒成分はイボテン酸とムッシモール、また微量ながら猛毒のムスカリン、溶血性タンパク質を含む[2]。,ベニテングダケ,ベニテングタケ
82,44,イボテン酸は神経細胞のグルタミン酸受容体、ムッシモールはγ-アミノ酸 (GABA) 受容体に不可逆的に結合し、神経細胞の持続的興奮や抑制、最後には壊死などを引き起こす[3]。特にグルタミン酸が神経伝達物質として重要な役割を持つ昆虫類には致死作用率が高い[3]。,ベニテングダケ,ベニテングタケ
83,44,胃腸系（腹痛・嘔吐・下痢など）と神経系（発汗・心拍数増加・精神錯乱・幻覚・けいれんなど）の複雑な症状が現れる[2][4]。食後20 - 30分で瞳孔は開いて眩しくなり、酒酔い状態となる。食べすぎると腹痛、嘔吐、下痢を起こす[7]。重症になると、呼吸困難、昏睡となる[4]。,ベニテングダケ,ベニテングタケ
84,47,軽さと強度、構造に由来する衝撃吸収性、何度も折り畳んでは組み立てられる利便性などから、宅配便、小包郵便物、引越し等の運輸業、または貯蔵の分野で、従来の木箱に取って代わるようになった。,段ボール,段ボール
85,47,段ボール箱からは腐食性ガスがわずかながら発生するので、電子部品などの長期保存には向かない。また、引っ越しやインターネット通販などで使った段ボール箱を折り畳んで保管しておくとチャタテムシやゴキブリの棲み処になるため、使用後は古紙回収に出すことが望ましい[5]。,段ボール,段ボール
86,48,"石炭等の燃料を効率よく燃やして、高温の燃焼ガスを作る火室。
火室で発生した燃焼ガスの持つ熱エネルギーを利用して水を沸騰させ、高温高圧の蒸気を作るボイラー。
シリンダーに送る蒸気の方向や量を制御する各種弁装置。
蒸気のエネルギーを往復運動のエネルギーに変えるシリンダー。
シリンダーの往復運動を回転運動に変換し駆動力を発生させるロッドと動輪。",蒸気機関車,蒸気機関車
87,49,栽培時期は、春に種まきして夏に収穫する「春まき」と、初秋に種まきして初冬に収穫する「秋まき」がある。秋まきのほうがとうが立ちにくく作りやすい[43]。栽培適温は15 - 25℃とされ、連作することができる[43]。移植を嫌うため、畑に直接種をまいて、間引きながら育てる。畑となる土壌に石などが混じっていると根がまっすぐに伸びないため、取り除いておくことが重要になる[43]。,大根,ダイコン
88,50,粉砕した鉱石をさらに微細な粒になるまで挽き、これに水を加えて練り水銀とともに撹拌すると鉱石中の金銀が水銀に溶け込むので、これをキューペル（灰吹き皿）にのせて加熱する。水銀が蒸発し不純物がキューペルに吸収されたあとに金銀の合金が得られる。,アマルガム,アマルガム
89,50,灰吹法（はいふきほう）は、金や銀を鉱石などからいったん鉛に溶け込ませ、さらにそこから金や銀を抽出する技術。,灰吹法,灰吹法
90,51,サボテンは、CAM型光合成の機能を獲得し、砂漠といった水分が慢性的に不足し、かつ昼夜の温度差が大きい環境に適応したものだと考えられている。通常の植物は昼に気孔を開け、CO2を取り込む。ただし、このような環境下の場合、同時に大量の水分を失ってしまう。しかし、CAM植物は涼しい夜に気孔を開け、CO2の取り込みを行い、昼は気孔を閉じることで水分の損失を最小限に抑えることができるものである[7][8][信頼性要検証]。,サボテン,サボテン
91,51,茎全体はクチクラ（ワックスの皮膜）で水分の損失や強い日差しや低温を防いでいる[9][11]。,サボテン,サボテン
92,51,貯水組織（英語版）が発達し、耐乾性に優れているものが多い。,サボテン,サボテン
93,53,赤道上は年間を通じた日射量（面積あたりの日射量）が最も大きい。そのため温暖で、強い上昇気流を生じている。この上昇気流のため低気圧地帯（熱帯収束帯）を生じ、雨量の豊富な熱帯の気候を形成している。,赤道,赤道
94,53,地球で最も気温の高い地域を熱赤道と言う。熱赤道は公転軸に対して地軸が傾いているため移動し、この結果、季節が生ずる。,赤道,赤道
95,54,肥満の治療方法としては、食事療法と運動療法の2つであると言われる[53]。 短期的には減量できる[54]が、減量した体重を維持するのはなかなか難しく、運動と減食を続けるように、と要求されることが多い[55][56]。生活習慣の改善を伴った長期的な減量成功率は、「2 - 20%」とされている[57]。食生活の改善は、妊娠期における体重増加を食い止め、母子の健康を改善する[58]。,肥満,肥満
96,56,炭酸水（たんさんすい）とは、炭酸ガスを含む水のことをいう。ソーダ水・ソーダとも言われる。特にソフトドリンクでは、飲み物に清涼感を与える目的で、炭酸を原料の一つに使用し気泡を立たせる。これは炭酸飲料とも呼ばれる。日本農林規格（JAS）では、ガス内圧が0.29MPa以上の飲料が該当する[1]。,炭酸水,炭酸水
97,56,人工的に、水と炭酸ガスに圧力をかけて工場生産されている。,炭酸水,炭酸水
98,58,"ハイダイナミックレンジ (英語: High dynamic range, HDR) は、通常よりも高いダイナミックレンジのことである。ハイダイナミックレンジは様々な信号、例えば、ビデオ、もしくは画像、音声に対して用いられる。またアナログおよびデジタル化された信号に対してその信号を記録、信号処理、および再生する手段に用いられることがある[1]。同義語としてワイドダイナミックレンジやダイナミックレンジ拡張、ダイナミックレンジ拡大がある。",ハイダイナミックレンジ,ハイダイナミックレンジ
99,60,再起動（さいきどう）、リブート (reboot) は、コンピューター関連分野において、動作中のコンピュータシステムが、故意または意図せずに再度始動するプロセス。再起動には、システムの電源を物理的に切断するハードリブート（コールドリブートとして知られる）と、電源供給の中断やリセット線を必要としないソフトリブート（ウォームリブートとして知られる）が挙げられる。,再起動,再起動
100,60,"例として、
システムリセットボタンによるリセット",再起動,再起動
101,61,バンダイナムコグループ（英: Bandai Namco Group）は、バンダイナムコホールディングスを中心核とする日本のエンターテインメント企業グループ。略称は「バンナム」[1]。,バンダイナムコ,バンダイナムコグループ
102,61,主に玩具・模型を中心としたトイホビー事業、家庭用ゲーム・スマートフォンアプリゲーム・アーケードゲームを中心としたゲーム事業、映像ソフト・音楽ソフト・イベント興行・アニメ制作を中心とした映像・音楽事業を中核事業にしているのが特徴である。,バンダイナムコ,バンダイナムコグループ
103,63,インキャット（INCAT）はオーストラリアのタスマニア州ホバートに本社を置く造船会社で、主に高速双胴船を建造している。,インキャット,インキャット
104,65,函館市（はこだてし）は、北海道南部（道南地方）に位置し、渡島総合振興局に属する市。 北海道南端の渡島半島南東部で天然の良港である函館港によって北海道と本州を結ぶ交通結節点、道南地域の中心都市として発展してきた[1]。振興局所在地であり、札幌市・旭川市に次ぐ北海道第3位の人口（約24万人[2]）を有する中核市である[3]。,函館市,函館市
105,65,"毎年500万人以上の観光客が訪れる観光都市となっており[4][5]、市町村の魅力度ランキング調査では2019年までに6回全国で1位となる等、常に上位にランクインする都市になっている[6][7][8]。
フランスのタイヤメーカー、ミシュランが発行する旅行ガイド『ミシュラン・グリーンガイド・ジャポン』では一つ星以上の星が付いている観光地が函館市内に20以上ある[9]。本市を中心とする函館都市圏は観光業の他に、水産業や食品関連産業、医療福祉を主要産業としてきたが[10]、一方で人口減少が著しく[11]、2014年（平成26年）4月1日から市域のすべてが「過疎地域」に指定されていたが[12][13]、2021年の新過疎法施行に伴い旧市域が指定解除された[14][15]
",函館市,函館市
106,65,観光PRとして親善大使「ミスはこだて」を任命し[131]、函館出身や函館にゆかりのある方に観光大使「はこだて観光大使」を依頼している。,函館市,函館市
107,67,乗り物酔い（のりものよい、英: motion sickness、独: Bewegungskrankheit）とは、航空機・列車・自動車・船舶・遊園地の遊具など、各種の乗り物が発する揺れなどの加速度によって、体の内耳にある三半規管が刺激されることで起こる身体の諸症状である。学問的には動揺病あるいは加速度病と呼ばれる[1][2]。,船酔い,乗り物酔い
108,67,"有効成分は抗ヒスタミン薬やスコポラミンが使われているが、実験による裏付けが必ずしも十分でなく、効果や副作用の点で問題が少なくない。今後の新薬開発の余地が多く残されている分野であると言える[1]。
いずれの薬も、嘔吐が始まってからでは効果が期待できないため、有効成分にもよるが、一般に乗り物に乗る30分～1時間前に服用する。乗り物酔いは心理的効果が大きく現れるため、プラセボ効果も無視できない。",乗り物酔い防止薬,乗り物酔い防止薬
109,68,地震調査研究推進本部 地震調査委員会の報告「全国を概観した地震動予測地図」では翠川ら（1999）による最大速度から震度への換算式を表層地盤増幅率の分布などと組み合わせて推定震度を算出している[40]。,,気象庁震度階級
110,68,2011年に発生した東北地方太平洋沖地震（東日本大震災）は評価において想定されておらず、地震危険度評価に対して疑問を投げかけた。このため、地震調査研究推進本部は毎年更新していた全国地震動予測地図の更新を一時取り止め、低頻度の巨大地震や複数の活断層の連動を評価に反映できるよう改善、2014年から再開している。低頻度の巨大地震のリスクを周知するため1万年や10万年の超長期の予測地図の公表を開始、また震源断層を予め特定しにくい地震の評価を各地で進め、津波堆積物調査や地殻変動観測の成果を積極的に取り入れることした[19][20][21]。,地震危険度,地震危険度
111,70,活断層（かつだんそう、英語: active fault）とは、「断層」のうち、最近の地質時代（特に数十万年前以降）に繰り返し活動し、将来も活動すると推定される断層のことをいう[1][2][3][4],活断層,活断層
112,70,地震により一度地層が壊されると断層に沿って地盤は弱くなるため再び力が加わると同じ場所がずれ動く可能性が高くなる[5]。,活断層,活断層
113,70,活断層の存在は、その活断層が繰り返しずれた跡が地形や地層に残されていることにより確認される。新しい時代に形成された地形や地層に比べて、古い時代に形成された地形や地層ほど大きくずれていれば、繰り返しずれを生じた証拠と考えられる。古いものほど地震を多数回経験しているため、大きくずれているためである。そしてまた、今後も同じように繰り返し地震を発生すると考えられる[2]。,活断層,活断層
114,71,地震が発生した際、気象庁は「地震情報」として、観測された震度や地震の震源、津波の有無などを発表する。そのうち、震度に関係するものを以下に挙げる[43]。,気象庁震度階級,気象庁震度階級
