,ID,Query,difficulty,dataset
41,faq_010,Safariでのクッキーの設定変更方法はありますか？,easy,train
42,faq_010,Internet Explorerでのクッキーの設定変更方法はありますか？,easy,train
43,faq_010,広告配信に関するクッキーの利用停止方法はありますか？,easy,train
44,faq_010,Amebaのクッキーポリシーに関するお問い合わせはどこにすればいいですか？,easy,train
45,faq_011,Amebaを通じて提供されるサービスにおいて、会員が同意すべき事項を定めたものは何ですか？,easy,train
46,faq_011,本同意事項はどのような規定と共に適用されますか？,easy,train
47,faq_011,パートナーサービスの提供主体は誰ですか？,easy,train
48,faq_011,パートナーサービスに関して疑義や争いが発生した場合、どのように解決されますか？,easy,train
49,faq_011,会員はパスワード等を第三者に利用させたり、譲渡することはできますか？,easy,train
50,faq_011,会員がコミュニティ機能や位置情報機能を使用して記述した情報はどのように扱われますか？,easy,train
51,faq_011,会員資格が取り消された場合、パートナーサービスの利用もできなくなりますか？,easy,train
52,faq_011,サービス提供者による障害やメンテナンスによってパートナーサービスが利用できなかった場合、当社はどのような責任を負いますか？,easy,train
53,faq_011,本同意事項は改訂されることがありますか？,easy,train
54,faq_011,本同意事項の改訂はどのように告知されますか？,easy,train
55,faq_011,本同意事項の改訂に同意するためにはどのような行動が必要ですか？,easy,train
56,faq_013,ゲーム内で手に入れたアイテムやカードをお金と交換することはできますか？,easy,train
57,faq_013,ゲーム内で手に入れたアイテムやカードを他の会員と取引することは禁止ですか？,easy,train
58,faq_013,ゲーム内で手に入れたアイテムやカードを外国の通貨で売買することは禁止ですか？,easy,train
59,faq_013,ゲーム内で手に入れたアイテムやカードを宣伝・告知・勧誘することは禁止ですか？,easy,train
60,faq_013,ゲーム内でRMT（リアルマネートレード）が発見された場合、どのような措置が取られますか？,easy,train
61,faq_014,サイトパトロール活動はどのように行われていますか？,easy,train
62,faq_014,利用規約違反行為を行った場合、どのようなペナルティが課されますか？,easy,train
63,faq_014,利用方法に関する質問はどこに連絡すればよいですか？,easy,train
64,faq_015,コインの購入限度額はどのように設定されていますか？,easy,train
65,faq_015,コインの有効期限はいつまでですか？,easy,train
66,faq_015,コインはどのようなサービスや加盟店で利用できますか？,easy,train
67,faq_015,コインの払い戻しは可能ですか？,easy,train
68,faq_015,コインの未使用残高はどのように確認できますか？,easy,train
69,faq_015,Amebaアプリコインの上限限度額はいくつですか？,easy,train
70,faq_015,Amebaアプリコインの有効期限はありますか？,easy,train
71,faq_015,Amebaアプリコインはどのような場所で利用できますか？,easy,train
72,faq_015,Amebaアプリコインの払い戻しは可能ですか？,easy,train
73,faq_015,Amebaアプリコインの未使用残高はどのように確認できますか？,easy,train
74,faq_015,引換券の支払可能金額に上限はありますか？,easy,train
75,faq_015,引換券の有効期限はありますか？,easy,train
76,faq_015,引換券はどのような場所で利用できますか？,easy,train
77,faq_015,引換券の払い戻しは可能ですか？,easy,train
78,faq_015,引換券の未使用残高はどのように確認できますか？,easy,train
79,faq_015,前払式支払手段の保有者の利益の保護策はありますか？,easy,train
80,faq_015,前払式支払手段に関する不正取引による損失は補償されますか？,easy,train
81,faq_016,販売業者は誰ですか？,easy,train
82,faq_016,商品販売価格以外に必要な料金はありますか？,easy,train
83,faq_016,推奨環境や対応端末はありますか？,easy,train
84,faq_016,「マンガコイン」の購入には何を確認する必要がありますか？,easy,train
85,faq_018,投稿時にエラーが発生しました。どのように対応すればよいですか？,easy,train
86,faq_018,画像の容量が制限を超えています。どのように解決すればよいですか？,easy,train
87,faq_018,投稿時に予期しないエラーが発生しています。なぜですか？,easy,train
88,faq_018,記事が削除されているため、投稿できません。どうすればよいですか？,easy,train
89,faq_018,タイトルに禁止タグが含まれています。どのように修正すればよいですか？,easy,train
90,faq_018,記事の文字数が制限を超えています。どのように対応すればよいですか？,easy,train
91,faq_018,Ameba Pickの記事投稿に失敗しています。どのように解決すればよいですか？,easy,train
92,faq_018,アフィリエイトタグの作成に失敗しました。なぜですか？,easy,train
93,faq_018,動画に著作権に違反する内容が含まれています。どのように対応すればよいですか？,easy,train
94,faq_018,投稿がすでに完了しているのにエラーが表示されます。どうすればよいですか？,easy,train
95,faq_018,画像や動画を添付している場合に投稿できないことがあります。どのように対応すればよいですか？,easy,train
96,faq_018,その他のエラーが表示された場合は、どのように対応すればよいですか？,easy,train
97,faq_020,アプリのアップデート方法はどのようにすればいいですか？,easy,train
98,faq_020,iOSアプリのアップデート方法は？,easy,train
99,faq_020,Androidアプリのアップデート方法は？,easy,train
100,faq_022,キャッシュ・Cookie・データを削除する方法はありますか？,easy,train
101,faq_024,Ameba会員登録の手順を教えてください。,easy,train
102,faq_024,メールアドレス以外の方法で会員登録することはできますか？,easy,train
103,faq_024,生年月日と性別の追加は必須ですか？,easy,train
104,faq_026,会員登録がうまくできない場合、どのような対処方法がありますか？,easy,train
105,faq_028,アカウントを削除したい場合はどうすればいいですか？,easy,train
106,faq_031,リンクを挿入する方法はありますか？,easy,train
107,faq_031,文字の配置を変える方法はありますか？,easy,train
108,faq_031,引用符を付ける方法はありますか？,easy,train
109,faq_031,パソコンから投稿する場合、リンクを挿入する方法はありますか？,easy,train
110,faq_031,文字の配置や引用符を付ける方法はありますか？,easy,train
111,faq_032,文章内で表示される文字のサイズを変更する方法はありますか？,easy,train
112,faq_032,見出しを使って文章を強調する方法はありますか？,easy,train
113,faq_032,文字を太くすることはできますか？,easy,train
114,faq_032,文字を斜めに傾けることはできますか？,easy,train
115,faq_032,文字の下に線を引くことはできますか？,easy,train
116,faq_032,文字に線を重ねることはできますか？,easy,train
117,faq_032,文字の色を変更することはできますか？,easy,train
118,faq_032,文字の下に色を帯状に塗ることはできますか？,easy,train
119,faq_032,文字装飾をリセットする方法はありますか？,easy,train
120,faq_033,記事デザインを使うと、どのようなメリットがありますか？,easy,train
121,faq_033,記事デザインの適用範囲はどのくらいですか？,easy,train
122,faq_033,記事デザインを適用するには、どのような手順が必要ですか？,easy,train
123,faq_034,画像をブログに追加する方法はありますか？,easy,train
124,faq_034,動画をブログに追加する方法はありますか？,easy,train
125,faq_034,絵文字をブログに追加する方法はありますか？,easy,train
126,faq_034,パソコンに保存されている画像や動画をブログにアップロードする方法はありますか？,easy,train
127,faq_034,本文の中で画像を表示させる位置を指定する方法はありますか？,easy,train
128,faq_034,絵文字を選択・入力する方法はありますか？,easy,train
129,faq_034,YouTubeの動画をブログに検索・入力する方法はありますか？,easy,train
130,faq_036,X(旧Twitter)にシェアする方法はありますか？,easy,train
131,faq_036,ブログ記事にポスト（ツイート）を埋め込む方法を教えてください。,easy,train
132,faq_036,ブログ記事下に自分のX(旧Twitter)リンクを設置するにはどうすればいいですか？,easy,train
133,faq_036,アプリからX(旧Twitter)にシェアする方法を教えてください。,easy,train
134,faq_036,パソコンからX(旧Twitter)にシェアする方法を教えてください。,easy,train
135,faq_036,ポスト（ツイート）のリンクを記事に埋め込む方法を教えてください。,easy,train
136,faq_036,X(旧Twitter)のヘルプセンターはどこで見ることができますか？,easy,train
137,faq_036,SNSプロフィール設定で自分のTwitterURLを入力する方法を教えてください。,easy,train
138,faq_037,カバー画像を選ぶ際に意識すべきポイントはありますか？,easy,train
139,faq_037,SNSでブログをシェアする際には、それぞれのSNSの特徴を意識する必要があると言われていますが、具体的にどのようなポイントがありますか？,easy,train
140,faq_039,フォローしたブログの更新通知を受け取る方法を教えてください。,easy,train
141,faq_040,フォローしたブログの更新通知を受け取るためには、どのような設定が必要ですか？,easy,train
142,faq_040,パソコンを利用している場合、どのようにしてフォローしたブログの更新通知を受け取ることができますか？,easy,train
143,faq_040,アプリを利用している場合、どのようにしてフォローしたブログの更新通知を受け取ることができますか？,easy,train
144,faq_040,フォローしたブログの更新通知をメールで受け取るための設定方法を教えてください。,easy,train
145,faq_040,フォローしたブログの更新通知をプッシュ通知で受け取るための設定方法を教えてください。,easy,train
146,faq_040,プッシュ通知の設定ができない場合、どのようにすれば良いですか？,easy,train
147,faq_040,フォローしたブログの更新通知を受け取るためには、Amebaの設定だけでなく、ご利用端末の設定も確認する必要がありますか？,easy,train
148,faq_041,公式ジャンルに所属する必要はありますか？,easy,train
149,faq_041,公式ジャンルに所属しなくても記事を書けますか？,easy,train
150,faq_041,公式ジャンルに所属すると何ができますか？,easy,train
151,faq_041,ジャンルを選ぶ手順はどうすればいいですか？,easy,train
152,faq_042,ジャンル総合ランキングとジャンル人気記事ランキングの違いは何ですか？,easy,train
153,faq_042,ランキングが上がった場合でも、もう一方のランキングが下がる理由は何ですか？,easy,train
154,faq_042,ページビューが増えたのにランキングが下がる場合、その理由は何ですか？,easy,train
155,faq_043,Ameba公式ジャンルの設定・確認はどこで行えますか？,easy,train
156,faq_043,ジャンルは何種類設定できますか？,easy,train
157,faq_043,ジャンル以外の記事を投稿してもランキングに反映されますか？,easy,train
158,faq_045,プロフィールのカバー画像を変更する方法は？,easy,train
159,faq_045,プロフィールの画像を変更する方法は？,easy,train
160,faq_045,ニックネームを設定する方法は？,easy,train
161,faq_045,自己紹介文を設定する方法は？,easy,train
162,faq_045,プルダウンの項目を設定する方法は？,easy,train
163,faq_045,フリースペースを変更する方法は？,easy,train
164,faq_045,変更内容を保存する方法は？,easy,train
165,faq_046,アメンバー限定記事を読むにはどうすればいいですか？,easy,train
166,faq_046,アメンバーになっているかどうかはどうやって確認できますか？,easy,train
167,faq_046,アメンバー限定記事を読むための手順はありますか？,easy,train
168,faq_046,パソコンからアメンバーになる手順を教えてください。,easy,train
169,faq_046,スマートフォンからアメンバー限定記事を読む手順を教えてください。,easy,train
170,faq_046,アメンバーになっているのに記事が閲覧できない場合はどうすればいいですか？,easy,train
171,faq_046,アメンバーの承認や削除、通知メールの設定はどこで行えますか？,easy,train
172,faq_049,キーワード検索はどのように行いますか？,easy,train
173,faq_049,ジャンルからブログを探す方法を教えてください。,easy,train
174,faq_049,ハッシュタグから関連する記事を探すにはどうすればいいですか？,easy,train
175,faq_050,コインを使って購入できるサービスはありますか？,easy,train
176,faq_050,コインの購入価格は税込みですか？,easy,train
177,faq_050,コインの購入価格には税金が含まれていますか？,easy,train
178,faq_050,コインを購入した後、どのサービスで利用できますか？,easy,train
179,faq_050,AmebaコインとABEMAコインの違いは何ですか？,easy,train
180,faq_051,プロフィールの設定方法はどのようになっていますか？,easy,train
181,faq_051,プロフィール画像やカバー画像を変更するにはどうすればいいですか？,easy,train
182,faq_051,ニックネームや自己紹介、生年月日などの項目はどのように変更できますか？,easy,train
183,faq_051,プロフィールページに表示するSNS情報を設定する方法を教えてください。,easy,train
184,faq_053,ボーナスコインの有効期限はどのくらいですか？,easy,train
185,faq_053,ボーナスコインを所持していても、一部のサービスでは使用できない場合があるのはなぜですか？,easy,train
186,faq_053,通常のコインとボーナスコインの消費優先順位はどのように決まりますか？,easy,train
187,faq_054,パスワード再設定通知が届かない場合、どのような原因が考えられますか？,easy,train
188,faq_054,メールアドレスの認証がされていない場合、パスワード再設定通知は受け取れますか？,easy,train
189,faq_054,外部サービスアカウントでAmebaを利用している場合、パスワード再設定機能を利用できますか？,easy,train
190,faq_055,メールアドレスの認証がされていない場合、パスワード再設定メールは送信されないのでしょうか？,easy,train
191,faq_057,パスワードを忘れました,easy,train
192,faq_057,ブログページを作成した覚えがない,easy,train
193,faq_057,パスワード再設定が届かない,easy,train
194,faq_057,パスワード再発行メールが届きません（外部サービスIDを利用している）,easy,train
195,faq_057,退会したいがログインできない,easy,train
196,faq_058,パスワード再設定通知を受け取れない場合はどうすればいいですか？,easy,train
197,faq_059,パスワードを忘れた場合、どのように再設定できますか？,easy,train
198,faq_060,パスワード再設定後もログインできない場合の対処方法はありますか？,easy,train
199,faq_062,reCAPTCHA（リキャプチャ）が表示される理由は何ですか？,easy,train
200,faq_062,reCAPTCHA（リキャプチャ）が表示された場合にはどのように操作すればいいですか？,easy,train
201,faq_062,reCAPTCHAが正常に表示されない場合やチェックが入らない場合の対処方法はありますか？,easy,train
202,faq_062,推奨環境内でのご利用かどうかどのように確認すればいいですか？,easy,train
203,faq_062,キャッシュやCookieの削除方法はありますか？,easy,train
204,faq_066,頻繁にログインを求められる場合の対処方法はありますか？,easy,train
205,faq_069,ログアウトする方法はどうすればいいですか？,easy,train
206,faq_069,別のアカウントでログインする方法はありますか？,easy,train
207,faq_071,Amebaが取り組んでいることに関する質問を作成します。,easy,train
208,faq_071,Amebaでは、どのような監視活動を行っていますか？,easy,train
209,faq_071,ポリシー違反の場合、どのような対応を行っていますか？,easy,train
210,faq_071,未成年者との出会いを求める投稿に対しては、どのような対処を行っていますか？,easy,train
211,faq_071,Amebaへの質問や問い合わせはどのように行えますか？,easy,train
212,faq_071,違反投稿を通報する場合、どのような手続きが必要ですか？,easy,train
213,faq_071,プライバシー権や著作権などの権利が侵害された場合、どのような対応がされますか？,easy,train
214,faq_071,Amebaは個人情報の取り扱いについてどのような方針を持っていますか？,easy,train
215,faq_072,自分の著作物が転載された場合、どのように対応すればよいですか？,easy,train
216,faq_072,氏名や個人情報が書かれている場合、どのように対処すればよいですか？,easy,train
217,faq_072,自分を中傷する内容がある場合、どのように対処すればよいですか？,easy,train
218,faq_072,トラブルを解決するために、Amebaに連絡する方法はありますか？,easy,train
219,faq_072,権利侵害が確認された場合、Amebaはどのような対応をしてくれますか？,easy,train
220,faq_072,トラブルが解決できない場合、他に相談できる機関はありますか？,easy,train
221,faq_072,検索結果からの削除を依頼する方法はありますか？,easy,train
222,faq_074,ペナルティとは何ですか？,easy,train
223,faq_074,Amebaの利用規約に違反するとどのようなペナルティがありますか？,easy,train
224,faq_074,違反行為が繰り返された場合、どのような対応が行われますか？,easy,train
225,faq_074,ペナルティに関する詳細はどこで確認できますか？,easy,train
226,faq_075,暴力的な内容・写真・イラスト・動画が掲載されている,easy,train
227,faq_075,残虐な内容・写真・イラスト・動画が掲載されている,easy,train
228,faq_075,卑猥・性描写の激しい内容・写真・イラスト・動画が掲載されている,easy,train
229,faq_077,Amebaの利用規約はどこで確認できますか？,easy,train
230,faq_077,Amebaの登録情報を確認する方法を教えてください。,easy,train
231,faq_077,Amebaブログのプロフィール情報はどこで確認できますか？,easy,train
232,faq_077,Amebaブログのよくある質問はありますか？,easy,train
233,faq_077,Ameba Pickの利用規約はどこで確認できますか？,easy,train
234,faq_077,Ameba Pickの登録情報を確認する方法を教えてください。,easy,train
235,faq_077,Ameba Pickのよくある質問はありますか？,easy,train
236,faq_077,スマートフォン版ピグの登録情報を確認する方法を教えてください。,easy,train
237,faq_077,スマートフォン版ピグのよくある質問はありますか？,easy,train
238,faq_077,Ameba Owndのガイドラインはどこで確認できますか？,easy,train
239,faq_077,Ameba Owndの登録情報を確認する方法を教えてください。,easy,train
240,faq_077,Ameba Owndのよくある質問はありますか？,easy,train
241,faq_077,開示希望の情報が上記ページで確認できない場合、どうすればいいですか？,easy,train
242,faq_077,開示希望の情報をお問い合わせフォームから連絡するにはどうすればいいですか？,easy,train
243,faq_077,開示希望の情報の確認やデータ形式についてはどのように確認すればいいですか？,easy,train
244,faq_077,問題が解決しない場合、どこにお問い合わせすればいいですか？,easy,train
245,faq_077,ヘルプを見ても問題が解決しない場合、どこにお問い合わせすればいいですか？,easy,train
246,faq_078,メールアドレスを変更する手順を教えてください。,easy,train
247,faq_080,個人情報等の取り扱いについて、株式会社サイバーエージェントはどのような方針で取り組んでいますか？,easy,train
248,faq_080,個人情報とは具体的にどのような情報を指すのですか？,easy,train
249,faq_080,インフォマティブデータとは何ですか？具体的な例を教えてください。,easy,train
250,faq_080,Cookieや広告識別子などの情報はどのように取り扱われますか？,easy,train
251,faq_080,個人情報等はどのような方法で取得されますか？,easy,train
252,faq_080,個人情報の利用目的にはどのようなものがありますか？,easy,train
253,faq_080,個人情報の管理はどのように行われていますか？,easy,train
254,faq_080,個人情報は第三者に提供されることがありますか？,easy,train
255,faq_080,個人情報の開示や削除、訂正、利用停止などの請求は可能ですか？,easy,train
256,faq_081,Ameba利用規約に同意するためには、どのような手続きを行えばよいですか？,easy,train
257,faq_081,会員登録をする際に、利用規約への同意が必要ですか？,easy,train
258,faq_081,Amebaブログを利用するためには、利用規約への同意が必要ですか？,easy,train
259,faq_081,利用規約への同意が必要なサービスは、どのようなものがありますか？,easy,train
260,faq_081,利用規約への同意の手続きは、会員以外の利用者も行う必要がありますか？,easy,train
261,faq_082,フォローフィードの更新情報を受け取るためには、どのような設定が必要ですか？,easy,train
262,faq_082,フォローフィードに表示されるブログの更新情報は、どのような形式で通知されますか？,easy,train
263,faq_082,フォローフィードに表示されるブログの更新情報を受け取るためには、会員登録が必要ですか？,easy,train
264,faq_085,画面が真っ白になる場合の対処法は何ですか？,easy,train
265,faq_085,データの取得に失敗しましたという表示が出る場合の対処法は何ですか？,easy,train
266,faq_085,Amebaアプリを最新のバージョンにアップデートする方法は何ですか？,easy,train
267,faq_085,利用しているOSの確認方法とアップデート方法は何ですか？,easy,train
268,faq_085,Amebaアプリを再インストールする方法は何ですか？,easy,train
269,faq_085,スマートフォンブラウザで画面が表示されない場合の対処法は何ですか？,easy,train
270,faq_088,メールアドレスの変更方法を教えてください。,easy,train
271,faq_094,機種変更後も同じアカウントでログインできますか？,easy,train
272,faq_094,機種変更前にログインに必要な情報を控えておく必要はありますか？,easy,train
273,faq_094,アメーバIDや連携した外部サービスIDを忘れた場合、どうすればいいですか？,easy,train
274,faq_096,ID連携の手順を教えてください。,easy,train
275,faq_098,各キャリアのデータ通信量を確認する方法はありますか？,easy,train
276,faq_098,docomoのデータ通信量を確認する方法は何ですか？,easy,train
277,faq_098,auのデータ通信量を確認するにはどうすればいいですか？,easy,train
278,faq_098,SoftBankのデータ通信量を確認する手順を教えてください。,easy,train
279,faq_098,キャリアによって通信速度が制限される場合、どのような事象が発生することがありますか？,easy,train
280,faq_099,インターネットに接続できない場合、どのように設定を確認すればよいですか？,easy,train
281,faq_100,アメンバーになっているブログをフォローフィードから削除するにはどうすればいいですか？,easy,train
282,faq_100,ログインしているアカウントが異なる場合、対象のブログは表示されませんか？なぜですか？,easy,train
283,faq_101,フォローフィードに表示されない場合、どのようにすれば解決できますか？,easy,train
284,faq_101,プッシュ通知やメール通知を受け取るためには、どのような設定が必要ですか？,easy,train
285,faq_102,バックグラウンドで起動しているアプリを停止する方法がわかりません。どうすればいいですか？,easy,train
286,faq_102,スマートフォンのバックグラウンドで起動しているアプリを終了させる方法を教えてください。,easy,train
287,faq_103,投稿する際に禁止タグが含まれているとエラーが表示されるのはなぜですか？,easy,train
288,faq_103,エラーが表示される原因は何ですか？,easy,train
289,faq_103,禁止タグが含まれているとエラーが表示されるのはどのような場合ですか？,easy,train
290,faq_103,エラーが表示された場合、どのように修正すればいいですか？,easy,train
291,faq_103,禁止タグを含まない投稿方法はありますか？,easy,train
292,faq_103,エラーが表示された場合、お問い合わせフォームから報告すれば解決できますか？,easy,train
293,faq_103,エラーが表示された場合、下書きにしてお問い合わせフォームから報告すれば解決できますか？,easy,train
294,faq_103,エラーが表示された場合、該当部分のタグをお問い合わせフォームに記載すれば解決できますか？,easy,train
295,faq_103,エラーが表示された場合、HTML表示で確認することができますか？,easy,train
296,faq_105,動画投稿時にエラーが表示される場合、どのような問題が考えられますか？,easy,train
297,faq_105,動画内に著作権に違反する内容が含まれている場合、どのようなエラーが表示されますか？,easy,train
298,faq_105,動画に含まれる音声がシステムに検知されると、なぜ投稿できなくなるのですか？,easy,train
299,faq_105,別の音声を利用するか、外部サイトに動画をアップロードすることで問題を回避できますか？,easy,train
300,faq_107,メールアドレスの認証コードが届かない場合、どうすればいいですか？,easy,train
301,faq_108,投稿に失敗した場合、どのような操作を試すべきですか？,easy,train
302,faq_111,入力されたメールアドレスに問題がある場合、どのような可能性が考えられますか？,easy,train
303,faq_112,別のアカウントでメールアドレスを登録しようとしたら、「メールアドレスが既に登録されています」と表示されました。どうすれば登録できますか？,easy,train
304,faq_112,メールアドレスが既に登録されているというメールが届きましたが、私は別のアカウントを持っていません。どうすれば解決できますか？,easy,train
305,faq_112,メールアドレスが既に登録されていると表示されましたが、どのアカウントに登録されているのか分かりません。どうすれば確認できますか？,easy,train
306,faq_112,新しいメールアドレスを登録するためには、どのような手続きが必要ですか？,easy,train
307,faq_112,メールアドレスが既に登録されているというメッセージが表示されましたが、他のアカウントで使用しているメールアドレスではありません。なぜこのようなメッセージが表示されるのですか？,easy,train
308,faq_113,見出しの記事デザインとは何ですか？,easy,train
309,faq_113,テキストの記事デザインとは何ですか？,easy,train
310,faq_113,記事デザインを使うと、どのような効果がありますか？,easy,train
311,faq_113,見出しの記事デザインを使うためには、どのような手順が必要ですか？,easy,train
312,faq_113,テキストの記事デザインを使うためには、どのような手順が必要ですか？,easy,train
313,faq_114,ブログデザインを変更するための手順を教えてください。,easy,train
314,faq_115,フォローしたブログの更新通知メールを受け取る方法はどうすればいいですか？,easy,train
315,faq_116,フォローフィードにブログを追加する方法は？,easy,train
316,faq_116,フォローフィードにブログを追加する手順を教えてください,easy,train
317,faq_116,ブログをフォローするとどのような情報が表示されますか？,easy,train
318,faq_116,フォローフィードに表示されるブログの更新情報をメールで受け取ることはできますか？,easy,train
319,faq_116,フォローフィードに表示されるブログの更新情報をプッシュ通知で受け取ることはできますか？,easy,train
320,faq_116,フォローフィードに表示されるブログの更新情報を受け取るためにはどのような設定をすればいいですか？,easy,train
321,faq_116,フォローフィードに表示されるブログの更新情報を受け取るためにはAmebaアプリを利用する必要がありますか？,easy,train
322,faq_116,フォローフィードに表示されるブログの更新情報を受け取るためには公開でフォローする必要がありますか？,easy,train
323,faq_116,フォローフィードに表示されるブログの更新情報を受け取るためには非公開でフォローする必要がありますか？,easy,train
324,faq_117,アメーバIDを登録するためには、どのような手順を踏めばよいですか？,easy,train
325,faq_117,アメーバIDの作成条件にはどのようなものがありますか？,easy,train
326,faq_117,アメーバIDとパスワードの設定条件は何ですか？,easy,train
327,faq_117,すでに作成済みのSNSアカウントとアメーバIDを連携することはできますか？,easy,train
328,faq_117,アメーバIDを登録するためには、パソコンを利用する必要がありますか？,easy,train
329,faq_118,利用可能な決済手段は何ですか？,easy,train
330,faq_119,コインの所持額を確認する方法はありますか？,easy,train
331,faq_119,コインの履歴を確認するにはどうすればいいですか？,easy,train
332,faq_119,コインの履歴は何か月分まで確認できますか？,easy,train
333,faq_119,過去3か月以上前のコインの履歴は確認できますか？,easy,train
334,faq_119,コインの所持額や履歴を確認する方法を教えてください。,easy,train
335,faq_121,ブログを書いている場合、アメーバIDはログインの際に使うアカウントでもありますか？,easy,train
336,faq_121,ブログページを確認することで、アメーバIDがわかりますか？,easy,train
337,faq_121,ブログのURLの形式はどのようなものですか？,easy,train
338,faq_121,外部SNSやメールアドレスでログインしている場合、それを利用してログインすることはできますか？,easy,train
339,faq_122,外部アカウントを連携する方法はありますか？,easy,train
340,faq_122,連携済みの外部アカウントと別のアメーバIDを連携することはできますか？,easy,train
341,faq_122,連携先の外部アカウントを利用できなくなった場合、ログインすることはできなくなりますか？,easy,train
342,faq_122,連携を解除する方法はありますか？,easy,train
343,faq_123,アメーバIDとパスワードを忘れてしまった場合、どうすれば再発行できますか？,easy,train
344,faq_123,ログインできない場合、アプリを削除して再インストールすると解決する可能性はありますか？,easy,train
345,faq_123,データ移行後にログインできない場合、どのように対処すればよいですか？,easy,train
346,faq_123,アメーバID・パスワード再発行メールが届かない場合、どうすれば再送してもらえますか？,easy,train
347,faq_124,ログアウト方法がわからない場合、どのようにすればログアウトできますか？,easy,train
348,faq_125,パスワード再設定通知は、Amebaに登録したメールアドレス以外では受信できませんか？,easy,train
349,faq_126,自分のブログのURLを確認する方法はありますか？,easy,train
350,faq_127,Cookieの削除方法を教えてください,easy,train
351,faq_127,Cookieの削除をすることで問題が解消する場合があるので、削除方法を教えてください,easy,train
352,faq_128,ボーナスコインを利用できるアプリはありますか？,easy,train
353,faq_128,ボーナスコインが利用できるアプリはどれですか？,easy,train
354,faq_128,ボーナスコインを利用できないアプリはありますか？,easy,train
355,faq_128,ボーナスコインが利用できないアプリはどれですか？,easy,train
356,faq_128,ボーナスコインが付与される機能はありますか？,easy,train
357,faq_128,ボーナスコインが付与される機能は何ですか？,easy,train
358,faq_128,ボーナスコインには有効期限がありますか？,easy,train
359,faq_128,ボーナスコインには有効期限がある場合がありますか？,easy,train
360,faq_128,ボーナスコインは対象アプリでのみ利用可能ですか？,easy,train
361,faq_128,ボーナスコインは対象アプリ以外で利用できますか？,easy,train
362,faq_130,退会後、同じアメーバIDを再利用することはできますか？,easy,train
363,faq_130,アメーバIDを再利用することはできませんか？,easy,train
364,faq_130,アメーバIDの登録条件はどのようなものですか？,easy,train
365,faq_130,アメーバIDに使用できる文字はどのようなものですか？,easy,train
366,faq_130,アメーバIDにハイフンを使用することはできますか？,easy,train
